Disease|Genes|Count
C0002103|ENSG00000103591;;ENSG00000109787;;ENSG00000115598;;ENSG00000115602;;ENSG00000115604;;ENSG00000137507;;ENSG00000152582;;ENSG00000152611;;ENSG00000158636;;ENSG00000164113;;ENSG00000166949;;ENSG00000168685;;ENSG00000174123;;ENSG00000174125;;ENSG00000174130;;ENSG00000196126;;ENSG00000196735;;ENSG00000197712;;ENSG00000232629;;ENSG00000237541|20
C0002170|ENSG00000067182;;ENSG00000110680;;ENSG00000111725;;ENSG00000132356;;ENSG00000135047;;ENSG00000144407;;ENSG00000162409;;ENSG00000163131;;ENSG00000164733;;ENSG00000169083;;ENSG00000183134;;ENSG00000204525;;ENSG00000204618;;ENSG00000204619;;ENSG00000206503;;ENSG00000234745;;ENSG00000239961|17
C0002171|ENSG00000038532;;ENSG00000056558;;ENSG00000065361;;ENSG00000108691;;ENSG00000109471;;ENSG00000111012;;ENSG00000111537;;ENSG00000113520;;ENSG00000122512;;ENSG00000123411;;ENSG00000125538;;ENSG00000126432;;ENSG00000131019;;ENSG00000134242;;ENSG00000134460;;ENSG00000136689;;ENSG00000136874;;ENSG00000143631;;ENSG00000145375;;ENSG00000155918;;ENSG00000160224;;ENSG00000163599;;ENSG00000163600;;ENSG00000164867;;ENSG00000169194;;ENSG00000172349;;ENSG00000174125;;ENSG00000177000;;ENSG00000179344;;ENSG00000183214;;ENSG00000196126;;ENSG00000196735;;ENSG00000198502;;ENSG00000204287;;ENSG00000204290;;ENSG00000204296;;ENSG00000204301;;ENSG00000204388;;ENSG00000204520;;ENSG00000204525;;ENSG00000206312;;ENSG00000206503;;ENSG00000213809;;ENSG00000223355;;ENSG00000226979;;ENSG00000231225;;ENSG00000232339;;ENSG00000232629;;ENSG00000232810;;ENSG00000233051;;ENSG00000234876;;ENSG00000235233;;ENSG00000235396;;ENSG00000237541;;ENSG00000238196;;ENSG00000240972;;ENSG00000242574|57
C0002395|ENSG00000001084;;ENSG00000034053;;ENSG00000037280;;ENSG00000064300;;ENSG00000066468;;ENSG00000068078;;ENSG00000073756;;ENSG00000077092;;ENSG00000077782;;ENSG00000080815;;ENSG00000080824;;ENSG00000089041;;ENSG00000091831;;ENSG00000091879;;ENSG00000095970;;ENSG00000100300;;ENSG00000101180;;ENSG00000101204;;ENSG00000102468;;ENSG00000104783;;ENSG00000105383;;ENSG00000105976;;ENSG00000106366;;ENSG00000108443;;ENSG00000108576;;ENSG00000108691;;ENSG00000109084;;ENSG00000112033;;ENSG00000112164;;ENSG00000113448;;ENSG00000113721;;ENSG00000114200;;ENSG00000116678;;ENSG00000117362;;ENSG00000117594;;ENSG00000117971;;ENSG00000120948;;ENSG00000121807;;ENSG00000122194;;ENSG00000122420;;ENSG00000123415;;ENSG00000125538;;ENSG00000126522;;ENSG00000128052;;ENSG00000128271;;ENSG00000130203;;ENSG00000130204;;ENSG00000131747;;ENSG00000131759;;ENSG00000132170;;ENSG00000132671;;ENSG00000133019;;ENSG00000134259;;ENSG00000135047;;ENSG00000135312;;ENSG00000136238;;ENSG00000137275;;ENSG00000138735;;ENSG00000139874;;ENSG00000140009;;ENSG00000141867;;ENSG00000142192;;ENSG00000144891;;ENSG00000145335;;ENSG00000146070;;ENSG00000147246;;ENSG00000147955;;ENSG00000148344;;ENSG00000148680;;ENSG00000149294;;ENSG00000150594;;ENSG00000151067;;ENSG00000153208;;ENSG00000154188;;ENSG00000155511;;ENSG00000157388;;ENSG00000157404;;ENSG00000158748;;ENSG00000160716;;ENSG00000162009;;ENSG00000162909;;ENSG00000163106;;ENSG00000163687;;ENSG00000164078;;ENSG00000164270;;ENSG00000164362;;ENSG00000164733;;ENSG00000165125;;ENSG00000165646;;ENSG00000166603;;ENSG00000167419;;ENSG00000168412;;ENSG00000168539;;ENSG00000170425;;ENSG00000171049;;ENSG00000171105;;ENSG00000171132;;ENSG00000171631;;ENSG00000175344;;ENSG00000176884;;ENSG00000178394;;ENSG00000179546;;ENSG00000180616;;ENSG00000181072;;ENSG00000182578;;ENSG00000183454;;ENSG00000184160;;ENSG00000184984;;ENSG00000186318;;ENSG00000186827;;ENSG00000186868;;ENSG00000187474;;ENSG00000188130;;ENSG00000188822;;ENSG00000196924;;ENSG00000197632;;ENSG00000198408;;ENSG00000204305;;ENSG00000273079;;ENSG00000278195|120
C0002452|ENSG00000054967;;ENSG00000064195;;ENSG00000067836;;ENSG00000108950;;ENSG00000115221;;ENSG00000119714;;ENSG00000120519;;ENSG00000124587;;ENSG00000125363;;ENSG00000127980;;ENSG00000132464;;ENSG00000137674;;ENSG00000140090;;ENSG00000141485;;ENSG00000142513;;ENSG00000158158;;ENSG00000166415;;ENSG00000167749;;ENSG00000168056;;ENSG00000174792;;ENSG00000178522;;ENSG00000180921;;ENSG00000187689;;ENSG00000189120;;ENSG00000196878|25
C0002736|ENSG00000003393;;ENSG00000015479;;ENSG00000083799;;ENSG00000083937;;ENSG00000089280;;ENSG00000090054;;ENSG00000092439;;ENSG00000100285;;ENSG00000104133;;ENSG00000106460;;ENSG00000107290;;ENSG00000108518;;ENSG00000112367;;ENSG00000116001;;ENSG00000120948;;ENSG00000122359;;ENSG00000123240;;ENSG00000124164;;ENSG00000127824;;ENSG00000134014;;ENSG00000135406;;ENSG00000135486;;ENSG00000137601;;ENSG00000142168;;ENSG00000147894;;ENSG00000147955;;ENSG00000155980;;ENSG00000160803;;ENSG00000161011;;ENSG00000162063;;ENSG00000165280;;ENSG00000172062;;ENSG00000172456;;ENSG00000178568;;ENSG00000183735;;ENSG00000188021;;ENSG00000204842;;ENSG00000204843;;ENSG00000214274;;ENSG00000250479|40
C0002881|ENSG00000001084;;ENSG00000004939;;ENSG00000029534;;ENSG00000068366;;ENSG00000070182;;ENSG00000080819;;ENSG00000085063;;ENSG00000100983;;ENSG00000101310;;ENSG00000101577;;ENSG00000101935;;ENSG00000101974;;ENSG00000102144;;ENSG00000102145;;ENSG00000103335;;ENSG00000104687;;ENSG00000104783;;ENSG00000105220;;ENSG00000105610;;ENSG00000106992;;ENSG00000111669;;ENSG00000112077;;ENSG00000117394;;ENSG00000132612;;ENSG00000137807;;ENSG00000140326;;ENSG00000143627;;ENSG00000149925;;ENSG00000159023;;ENSG00000160211;;ENSG00000161800;;ENSG00000163554;;ENSG00000166947;;ENSG00000172331;;ENSG00000173638;;ENSG00000176076;;ENSG00000188536;;ENSG00000196839;;ENSG00000206172;;ENSG00000244734|40
C0002940|ENSG00000088298;;ENSG00000088926;;ENSG00000100991;;ENSG00000101000;;ENSG00000109794;;ENSG00000117475;;ENSG00000117477;;ENSG00000117479;;ENSG00000121207;;ENSG00000125966;;ENSG00000125998;;ENSG00000126005;;ENSG00000143153;;ENSG00000143156;;ENSG00000145476;;ENSG00000148248;;ENSG00000148288;;ENSG00000148290;;ENSG00000148291;;ENSG00000148296;;ENSG00000148297;;ENSG00000148303;;ENSG00000164344;;ENSG00000171102;;ENSG00000171557;;ENSG00000171560;;ENSG00000171564;;ENSG00000171566;;ENSG00000174175;;ENSG00000175213;;ENSG00000175216;;ENSG00000175220;;ENSG00000175224;;ENSG00000180210;;ENSG00000198734;;ENSG00000198870;;ENSG00000242372|37
C0003486|ENSG00000065534;;ENSG00000092969;;ENSG00000106799;;ENSG00000107796;;ENSG00000113083;;ENSG00000133392;;ENSG00000133704;;ENSG00000163513;;ENSG00000166147;;ENSG00000166949;;ENSG00000168542;;ENSG00000182492;;ENSG00000185532;;ENSG00000186790;;ENSG00000187720;;ENSG00000197614|16
C0003868|ENSG00000073756;;ENSG00000085662;;ENSG00000100191;;ENSG00000103222;;ENSG00000109667;;ENSG00000118777;;ENSG00000125538;;ENSG00000132170;;ENSG00000134339;;ENSG00000147224;;ENSG00000149452;;ENSG00000158125;;ENSG00000160013;;ENSG00000162711;;ENSG00000163464;;ENSG00000163586;;ENSG00000165704;;ENSG00000166402;;ENSG00000173432;;ENSG00000180871;;ENSG00000186951;;ENSG00000197891;;ENSG00000198805|23
C0003872|ENSG00000056972;;ENSG00000081059;;ENSG00000105397;;ENSG00000107984;;ENSG00000110876;;ENSG00000111679;;ENSG00000112115;;ENSG00000112116;;ENSG00000113302;;ENSG00000115009;;ENSG00000134318;;ENSG00000136244;;ENSG00000139610;;ENSG00000141527;;ENSG00000162594;;ENSG00000162889;;ENSG00000168610;;ENSG00000169194;;ENSG00000177272;;ENSG00000184371;;ENSG00000185187;;ENSG00000196126;;ENSG00000196296;;ENSG00000197561;;ENSG00000204525;;ENSG00000213024;;ENSG00000228716;;ENSG00000232810;;ENSG00000234745|29
