Gene_1_ENSG|Gene_2_ENSG|DB_or_Algorithm|Supporting_PMID(s)
ENSG00000000005|ENSG00000061656|(HuRI)|32296183
ENSG00000000005|ENSG00000099968|(HuRI)|32296183
ENSG00000000005|ENSG00000104765|(HuRI)|32296183
ENSG00000000005|ENSG00000105383|(HuRI)|32296183
ENSG00000000005|ENSG00000114455|(HuRI)|32296183
ENSG00000000005|ENSG00000124103|(HuRI)|32296183
ENSG00000000005|ENSG00000139637|(HuRI)|32296183
ENSG00000000005|ENSG00000150337|(HuRI)|32296183
ENSG00000000005|ENSG00000157613|(HuRI)|32296183
ENSG00000000005|ENSG00000163472|(HuRI)|32296183
ENSG00000000005|ENSG00000167741|(HuRI)|32296183
ENSG00000000005|ENSG00000169379|(HuRI)|32296183
ENSG00000000005|ENSG00000176171|(HuRI)|32296183
ENSG00000000005|ENSG00000181754|(HuRI)|32296183
ENSG00000000005|ENSG00000184988|(HuRI)|32296183
ENSG00000000005|ENSG00000242019|(HuRI)|32296183
ENSG00000000419|ENSG00000106511|(HuRI)|32296183
ENSG00000000457|ENSG00000034713|(HuRI)|32296183
ENSG00000000457|ENSG00000100348|(HuRI)|32296183
ENSG00000000457|ENSG00000139112|(HuRI)|32296183
ENSG00000000457|ENSG00000198420|(HuRI)|32296183
ENSG00000000460|ENSG00000149380|(HuRI)|32296183
ENSG00000001036|ENSG00000085741|(HuRI)|32296183
ENSG00000001036|ENSG00000105576|(HuRI)|32296183
ENSG00000001036|ENSG00000105991|(HuRI)|32296183
ENSG00000001036|ENSG00000108256|(HuRI)|32296183
ENSG00000001036|ENSG00000127445|(HuRI)|32296183
ENSG00000001036|ENSG00000138867|(HuRI)|32296183
ENSG00000001036|ENSG00000186226|(HuRI)|32296183
ENSG00000001036|ENSG00000186844|(HuRI)|32296183
ENSG00000001036|ENSG00000187170|(HuRI)|32296183
ENSG00000001036|ENSG00000188730|(HuRI)|32296183
ENSG00000001036|ENSG00000196224|(HuRI)|32296183
ENSG00000001036|ENSG00000196734|(HuRI)|32296183
ENSG00000001036|ENSG00000205867|(HuRI)|32296183
ENSG00000001036|ENSG00000213416|(HuRI)|32296183
ENSG00000001036|ENSG00000215455|(HuRI)|32296183
ENSG00000001167|ENSG00000066136|(HuRI)|32296183
ENSG00000001167|ENSG00000101266|(HuRI)|32296183
ENSG00000001167|ENSG00000120837|(HuRI)|32296183
ENSG00000001167|ENSG00000124788|(HuRI)|32296183
ENSG00000001167|ENSG00000135482|(HuRI)|32296183
ENSG00000001167|ENSG00000136451|(HuRI)|32296183
ENSG00000001167|ENSG00000143190|(HuRI)|32296183
ENSG00000001167|ENSG00000143442|(HuRI)|32296183
